Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Diploneis sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,2,14.52760,16875.30367,1161.60290
Encyonema silesiacum,BACILLARIOPHYTA,12/6/2017,657.0,2,3,4.43191,855.77727,193.09454
Epithemia sorex,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,176.02463,440.05719
Epithemia sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,3.49071,2397.26284,686.75592
Fragilaria brevistriata,BACILLARIOPHYTA,12/6/2017,657.0,2,9,59.23267,33495.25621,565.48620
Fragilaria construens,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1752.29813,266.24975
Fragilaria sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,3747.54024,569.41319
Gomphoneis clevei,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,543.00071,74.75435
Gomphoneis minuta,BACILLARIOPHYTA,12/6/2017,657.0,2,3,1.20001,5063.78852,4219.78179
Gomphoneis sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,333.27497,833.17915
Gomphonema parvulum,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,135.55591,338.88640
Gomphonema sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,5563.32170,845.30880
Grunowia tabellaria,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,2605.18659,395.84034
Gyrosigma sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,16779.37934,2310.00000
Hippodonta capitata,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1085.49441,164.93348
Hippodonta sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,651.29665,98.96009
Karayevia sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,2,13.16282,3057.99284,232.32058
Luticola sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,158.33771,395.84034
Melosira sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,2,13.16282,95740.60732,7273.56625
Melosira varians,BACILLARIOPHYTA,12/6/2017,657.0,2,4,29.05520,107344.73085,3694.50984
Navicula capitatoradiata,BACILLARIOPHYTA,12/6/2017,657.0,2,1,3.49071,4112.38736,1178.09625
Navicula cryptotenella,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1473.17099,223.83829
Navicula recens,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,7650.15111,1162.38830
Navicula spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,4,26.32563,46546.00048,1768.08685
Navicula tripunctata,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,9779.78777,1485.97207
Navicula trivialis,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,364.42807,911.06110
Nitzschia dissipata,BACILLARIOPHYTA,12/6/2017,657.0,2,3,13.36282,1783.93608,133.50000
Nitzschia fonticola,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,197.44223,30.00000
Nitzschia inconspicua,BACILLARIOPHYTA,12/6/2017,657.0,2,7,46.06985,1312.99080,28.50000
Nitzschia palea,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,111.00110,277.50000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,3,19.74422,2517.38838,127.50000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,16,105.30252,13978.90959,132.75000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,2025.75724,307.80000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,7996.41015,1215.00000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,0.40000,900.61696,2251.52000
Nitzschia spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,21137.65968,2910.00000
Nupela impexiformis,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,1454.76756,200.27636
Planothidium frequentissimum,BACILLARIOPHYTA,12/6/2017,657.0,2,3,16.45352,1884.10816,114.51096
Pleurosigma sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,17753.34681,2697.50000
Pseudostaurosira parasitica,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1439.05545,218.65466
Reimeria sinuata,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,573.76133,87.17912
Rhoicosphenia sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,4,23.03493,5400.76699,234.45992
Sellaphora sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1832.26386,278.40000
Sellaphora sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,2013.91070,306.00000
Staurosira robusta,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1240.56504,188.49540
Staurosira sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,3,19.74422,697.81784,35.34289
Thalassiosira spp.,BACILLARIOPHYTA,12/6/2017,657.0,2,6,39.48845,12467.67870,315.72980
Tryblionella debilis,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,15021.18815,2067.95162
Ulnaria sp.,BACILLARIOPHYTA,12/6/2017,657.0,2,2,14.52760,40790.54132,2807.79606
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,22,141.50026,11875.77410,83.92758
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,852.88847,129.59059
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,2,13.16282,2046.93232,155.50871
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,1382.09558,210.00000
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,9,59.23267,16282.41621,274.88912
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,3840.58635,528.72960
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,7.26380,6052.04717,833.17915
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,10131.28120,1539.37910
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,11676.81848,1774.21295
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,2,0.80001,3532.83514,4416.00000
Unknown Diatom,BACILLARIOPHYTA,12/6/2017,657.0,2,1,6.58141,29853.26455,4536.00000
Monoraphidium sp.,CHLOROPHYTA,12/6/2017,657.0,2,1,6.58141,213.65287,32.46310
Scenedesmus sp.,CHLOROPHYTA,12/6/2017,657.0,2,4,29.05520,836.72905,28.79791
Unknown Chlorophyte,CHLOROPHYTA,12/6/2017,657.0,2,1,427.79149,1791.92729,4.18879
Unknown Chlorophyte,CHLOROPHYTA,12/6/2017,657.0,2,1,6.58141,249.83602,37.96088
Unknown Chlorophyte,CHLOROPHYTA,12/6/2017,657.0,2,1,0.40000,175.16675,437.91251
Synura sp.,CHRYSOPHYCEAE,12/6/2017,657.0,2,20,8.00008,3485.10517,435.63381
Cryptomonas spp.,CRYPTOPHYTA,12/6/2017,657.0,2,1,6.58141,7064.32873,1073.37658
Plagioselmis nannoplanctica,CRYPTOPHYTA,12/6/2017,657.0,2,3,19.74422,10007.22469,506.84319
Plagioselmis prolonga,CRYPTOPHYTA,12/6/2017,657.0,2,87,569.29175,49630.35532,87.17912
Teleaulax sp.,CRYPTOPHYTA,12/6/2017,657.0,2,5,32.90704,19073.68756,579.62336
Eucapsis microscopica,CYANOPHYCEAE,12/6/2017,657.0,2,333,142240.67021,25545.60340,0.17959
Planktolyngbya sp.,CYANOPHYCEAE,12/6/2017,657.0,2,44,289.58193,659.56708,2.27765
Planktolyngbya sp.,CYANOPHYCEAE,12/6/2017,657.0,2,13,5.20005,12.25232,2.35619
Planktothrix sp.,CYANOPHYCEAE,12/6/2017,657.0,2,165,1085.93224,10234.66162,9.42477
Unknown Cyanophyte,CYANOPHYCEAE,12/6/2017,657.0,2,15,95.43041,562.13104,5.89048
Unknown Cyanophyte,CYANOPHYCEAE,12/6/2017,657.0,2,49,355.92623,3354.52284,9.42477
Heterocapsa rotundata,DINOPHYCEAE,12/6/2017,657.0,2,1,6.58141,689.20280,104.71967
Unknown Dinoflagellate,DINOPHYCEAE,12/6/2017,657.0,2,1,6.58141,15768.96012,2395.98597
Unknown Dinoflagellate,DINOPHYCEAE,12/6/2017,657.0,2,1,6.58141,20913.85904,3177.71829
Unknown Dinoflagellate,DINOPHYCEAE,12/6/2017,657.0,2,1,6.58141,23636.21012,3591.36097
Unknown Raphidophyte,RAPHIDOPHYCEAE,12/6/2017,657.0,2,2,13.16282,1378.40561,104.71967
Unknown Raphidophyte,RAPHIDOPHYCEAE,12/6/2017,657.0,2,1,6.58141,744.33903,113.09724
Cocconeis sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,2,14.25972,9172.42780,643.24055
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,9,64.16872,9676.40735,150.79632
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,2,14.25972,3583.85457,251.32720
Fallacia sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,1,7.12986,2822.28548,395.84034
Gyrosigma sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,2,14.25972,50650.51234,3552.00000
Hippodonta sp.,BACILLARIOPHYTA,1/10/2018,6.0,2,1,0.66667,109.95674,164.93348
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,6.0,2,6,42.77915,2117.56787,49.50000
Paralia sulcata,BACILLARIOPHYTA,1/10/2018,6.0,2,5,35.64929,23659.03996,663.66089
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,6.0,2,8,57.03887,14335.41829,251.32720
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,6.0,2,2,14.25972,13170.66556,923.62746
Tryblionella debilis,BACILLARIOPHYTA,1/10/2018,6.0,2,1,7.12986,2150.31274,301.59264
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,6.0,2,1,7.12986,342.23319,48.00000
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,6.0,2,40,285.19433,16799.31831,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,6.0,2,4,28.51943,2217.51002,77.75435
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,6.0,2,1,12.10633,1112.46931,91.89151
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,6.0,2,1,7.12986,955.69455,134.04117
Pseudokephyrion sp.,CHRYSOPHYCEAE,1/10/2018,6.0,2,2,14.25972,335.98637,23.56193
Plagioselmis prolonga,CRYPTOPHYTA,1/10/2018,6.0,2,78,556.12894,47172.48582,84.82293
Teleaulax sp.,CRYPTOPHYTA,1/10/2018,6.0,2,15,106.94787,41998.29578,392.69875
Unknown Cryptophyte,CRYPTOPHYTA,1/10/2018,6.0,2,1,7.12986,146.34073,20.52505
Eucapsis microscopica,CYANOPHYCEAE,1/10/2018,6.0,2,315,224590.53191,40335.16327,0.17959
Unknown Cyanophyte,CYANOPHYCEAE,1/10/2018,6.0,2,92,1113.78276,13716.27116,12.31503
Unknown Cyanophyte,CYANOPHYCEAE,1/10/2018,6.0,2,10,71.29858,1119.95455,15.70795
Heterocapsa rotundata,DINOPHYCEAE,1/10/2018,6.0,2,5,35.64929,6719.72733,188.49540
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,6.0,2,7,49.90901,16724.65468,335.10293
Unknown Euglenophyte,EUGLENOPHYTA,1/10/2018,6.0,2,1,0.66667,199.62385,299.43280
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,6.0,2,1,7.12986,167.99318,23.56193
Actinoptychus senarius,BACILLARIOPHYTA,1/10/2018,13.0,2,1,0.40000,265.46700,663.66089
Navicula spp.,BACILLARIOPHYTA,1/10/2018,13.0,2,2,8.55583,1310.34683,153.15251
Rhizosolenia setigera,BACILLARIOPHYTA,1/10/2018,13.0,2,1,0.40000,31305.62743,78263.29008
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,13.0,2,17,72.72455,41467.43732,570.19859
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,13.0,2,1,0.40000,680.47516,1701.17099
Tryblionella navicularis,BACILLARIOPHYTA,1/10/2018,13.0,2,1,0.40000,612.61614,1531.52513
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,13.0,2,3,1283.37447,18143.26378,14.13716
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,13.0,2,1,4.27791,167.99318,39.26988
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,13.0,2,91,389.29026,22931.06950,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,13.0,2,1,4.27791,1175.95228,274.88913
Pyramimonas spp.,CHLOROPHYTA,1/10/2018,13.0,2,1,7.26380,2472.15402,340.33892
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,13.0,2,2,855.58298,6999.71596,8.18122
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,13.0,2,8,34.22332,1119.95455,32.72490
Pseudokephyrion sp.,CHRYSOPHYCEAE,1/10/2018,13.0,2,9,38.50123,907.16319,23.56193
Cryptomonas spp.,CRYPTOPHYTA,1/10/2018,13.0,2,1,4.27791,3153.79202,737.22645
Plagioselmis prolonga,CRYPTOPHYTA,1/10/2018,13.0,2,73,312.28779,26489.16512,84.82293
Rhodomonas sp.,CRYPTOPHYTA,1/10/2018,13.0,2,1,4.27791,3596.17407,840.63712
Teleaulax sp.,CRYPTOPHYTA,1/10/2018,13.0,2,35,149.72702,75888.12059,506.84319
Unknown Cryptophyte,CRYPTOPHYTA,1/10/2018,13.0,2,1,4.27791,69.99716,16.36245
Eucapsis microscopica,CYANOPHYCEAE,1/10/2018,13.0,2,225,96253.08511,17286.49854,0.17959
Dinophysis acuminata,DINOPHYCEAE,1/10/2018,13.0,2,1,7.26380,141179.01109,19435.97013
Heterocapsa rotundata,DINOPHYCEAE,1/10/2018,13.0,2,14,59.89081,9031.31353,150.79632
Heterocapsa sp.,DINOPHYCEAE,1/10/2018,13.0,2,2,8.55583,1119.95455,130.89958
Tripos sp.,DINOPHYCEAE,1/10/2018,13.0,2,1,0.40000,36543.33950,91357.44000
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,13.0,2,8,34.22332,5160.75059,150.79632
Unknown Euglenophyte,EUGLENOPHYTA,1/10/2018,13.0,2,1,0.40000,288.40083,720.99490
Pseudopedinella pyriformis,RAPHIDOPHYCEAE,1/10/2018,13.0,2,1,4.27791,46446.77649,10857.34000
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,13.0,2,4,17.11166,403.18364,23.56193
Actinoptychus senarius,BACILLARIOPHYTA,1/10/2018,18.0,2,2,0.80001,1089.51425,1361.87927
Asterionellopsis glacialis,BACILLARIOPHYTA,1/10/2018,18.0,2,5,36.31900,5992.63548,165.00000
Cocconeis sp.,BACILLARIOPHYTA,1/10/2018,18.0,2,1,9.10195,4074.72827,447.67658
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,18.0,2,3,27.30584,2164.32409,79.26232
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,18.0,2,1,9.10195,13589.86216,1493.07206
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,18.0,2,1,9.10195,573.42263,63.00000
Paralia sulcata,BACILLARIOPHYTA,1/10/2018,18.0,2,3,1.20001,1140.40851,950.33098
Pseudo-nitzschia sp.,BACILLARIOPHYTA,1/10/2018,18.0,2,1,0.40000,948.00943,2370.00000
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,18.0,2,11,100.12141,47574.23973,475.16549
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,18.0,2,2,0.80001,4704.89198,5881.05648
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,18.0,2,1,0.40000,7258.40174,18145.82384
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,18.0,2,6,2566.74894,49389.99584,19.24224
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,18.0,2,159,1447.20951,85247.60463,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,18.0,2,1,9.10195,772.05378,84.82293
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,18.0,2,1,427.79149,6450.93823,15.07963
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,18.0,2,2,855.58298,24581.65852,28.73089
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,18.0,2,4,36.40779,1668.01742,45.81485
Chromulina spp.,CHRYSOPHYCEAE,1/10/2018,18.0,2,1,9.10195,142.97292,15.70795
Plagioselmis prolonga,CRYPTOPHYTA,1/10/2018,18.0,2,69,628.03431,32883.77202,52.35983
Teleaulax sp.,CRYPTOPHYTA,1/10/2018,18.0,2,23,209.34477,106104.97104,506.84319
Unknown Cryptophyte,CRYPTOPHYTA,1/10/2018,18.0,2,2,855.58298,8239.28166,9.63002
Eucapsis microscopica,CYANOPHYCEAE,1/10/2018,18.0,2,221,94541.91915,16979.18301,0.17959
Planktolyngbya sp.,CYANOPHYCEAE,1/10/2018,18.0,2,18,163.83504,488.96739,2.98451
Unknown Cyanophyte,CYANOPHYCEAE,1/10/2018,18.0,2,9,81.91752,772.05378,9.42477
Akashiwo sanguinea,DINOPHYCEAE,1/10/2018,18.0,2,1,7.26380,489258.29705,67355.68960
Dinophysis sp.,DINOPHYCEAE,1/10/2018,18.0,2,1,0.40000,3151.67444,7879.10772
Gymnodinium sp.,DINOPHYCEAE,1/10/2018,18.0,2,1,9.10195,31873.43004,3501.82565
Heterocapsa rotundata,DINOPHYCEAE,1/10/2018,18.0,2,12,109.22336,19238.43636,176.13848
Heterocapsa sp.,DINOPHYCEAE,1/10/2018,18.0,2,4,36.40779,5490.16020,150.79632
Heterocapsa sp.,DINOPHYCEAE,1/10/2018,18.0,2,1,9.10195,6672.06968,733.03767
Heterocapsa triquetra,DINOPHYCEAE,1/10/2018,18.0,2,1,0.40000,187.65951,469.14411
Karlodinium veneficum,DINOPHYCEAE,1/10/2018,18.0,2,2,18.20389,6100.17800,335.10293
Lebouridinium glaucum,DINOPHYCEAE,1/10/2018,18.0,2,1,0.40000,175.93079,439.82260
Prorocentrum micans,DINOPHYCEAE,1/10/2018,18.0,2,2,0.80001,19302.12096,24127.41120
Prorocentrum triestinum,DINOPHYCEAE,1/10/2018,18.0,2,1,7.26380,14391.73971,1981.29609
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,18.0,2,1,0.40000,217.81907,544.54227
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,18.0,2,1,0.40000,823.73309,2059.31225
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,18.0,2,2,0.80001,3204.45368,4005.52725
Heterosigma akashiwo,RAPHIDOPHYCEAE,1/10/2018,18.0,2,1,0.40000,75.39891,188.49540
Pseudopedinella pyriformis,RAPHIDOPHYCEAE,1/10/2018,18.0,2,1,9.10195,21498.31135,2361.94655
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,18.0,2,4,36.40779,857.83753,23.56193
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,18.0,2,8,72.81557,1715.67506,23.56193
Actinoptychus senarius,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.92206,7317.03642,923.62746
Chaetoceros sp.,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.92206,2762.58237,348.72000
Craticula sp.,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.26380,372762.79302,51317.87265
Eucampia zodiacus,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.26380,86350.43825,11887.77656
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,22.0,2,3,23.76619,998.18014,42.00000
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,22.0,2,1,0.40000,1328.01321,3320.00000
Paralia sulcata,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.92206,4517.15004,570.19859
Rhaphoneis amphiceros,BACILLARIOPHYTA,1/10/2018,22.0,2,2,0.80001,1013.21008,1266.50000
Skeletonema sp.,BACILLARIOPHYTA,1/10/2018,22.0,2,8,63.37652,2239.90911,35.34289
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,22.0,2,15,118.83097,143354.18294,1206.37056
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,22.0,2,2,0.80001,1360.95033,1701.17099
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,22.0,2,1,7.26380,58418.90114,8042.47040
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,22.0,2,3,1283.37447,29109.85877,22.68228
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,22.0,2,127,1006.10221,59264.26183,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,22.0,2,2,15.84413,2219.92095,140.11000
Pyramimonas spp.,CHLOROPHYTA,1/10/2018,22.0,2,18,142.59716,2515.23127,17.63872
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,22.0,2,1,427.79149,1791.92729,4.18879
Chromulina spp.,CHRYSOPHYCEAE,1/10/2018,22.0,2,1,7.92206,145.17929,18.32594
Pseudokephyrion sp.,CHRYSOPHYCEAE,1/10/2018,22.0,2,13,102.98684,2426.56820,23.56192
Plagioselmis prolonga,CRYPTOPHYTA,1/10/2018,22.0,2,68,538.70039,45694.14581,84.82293
Teleaulax sp.,CRYPTOPHYTA,1/10/2018,22.0,2,26,205.97368,209267.24164,1015.99021
Eucapsis microscopica,CYANOPHYCEAE,1/10/2018,22.0,2,250,106947.87234,19207.22060,0.17959
Planktothrix sp.,CYANOPHYCEAE,1/10/2018,22.0,2,48,348.66243,2190.70879,6.28318
Akashiwo sanguinea,DINOPHYCEAE,1/10/2018,22.0,2,2,14.52760,724394.37414,49863.31648
Heterocapsa rotundata,DINOPHYCEAE,1/10/2018,22.0,2,10,79.22065,4791.74630,60.48608
Heterocapsa sp.,DINOPHYCEAE,1/10/2018,22.0,2,4,31.68826,5973.09096,188.49540
Heterocapsa triquetra,DINOPHYCEAE,1/10/2018,22.0,2,1,7.26380,334.69162,46.07665
Karlodinium veneficum,DINOPHYCEAE,1/10/2018,22.0,2,1,7.92206,2867.08366,361.91117
Prorocentrum micans,DINOPHYCEAE,1/10/2018,22.0,2,1,7.92206,66973.28234,8454.01869
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,22.0,2,3,23.76619,17521.06680,737.22645
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,22.0,2,1,7.92206,18118.37590,2287.07752
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,22.0,2,1,7.92206,33100.87905,4178.31470
Unknown Euglenophyte,EUGLENOPHYTA,1/10/2018,22.0,2,1,7.26380,6469.43690,890.64077
Chaetoceros sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,0.40000,126.67017,316.67227
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,1791.92729,150.79632
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,2,0.80001,1089.51425,1361.87927
Diatoma sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,0.40000,326.72861,816.81340
Fragilaria brevistriata,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,1170.35251,98.48885
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,27.0,2,4,47.53239,2138.95745,45.00000
Nitzschia spp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,2566.74894,216.00000
Paralia sulcata,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,5646.43754,475.16549
Plagiolemma confusum,BACILLARIOPHYTA,1/10/2018,27.0,2,1,0.40000,8690.98103,21727.23644
Seminavis sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,0.40000,194.95358,487.37910
Skeletonema sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,4,29.05520,1026.89475,35.34289
Thalassionema sp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,7.26380,4576.19436,630.00000
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,5442.97913,458.04382
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,27.0,2,13,154.48026,84468.83907,546.79374
Thalassiosira spp.,BACILLARIOPHYTA,1/10/2018,27.0,2,1,7.26380,49701.70574,6842.38302
Tryblionella compressa,BACILLARIOPHYTA,1/10/2018,27.0,2,1,7.26380,4141.80881,570.19859
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,27.0,2,2,855.58298,16463.33195,19.24224
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,27.0,2,1,11.88310,482.32709,40.58934
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,27.0,2,174,2067.65887,121795.05777,58.90481
Unknown Diatom,BACILLARIOPHYTA,1/10/2018,27.0,2,1,0.40000,144.94147,362.35006
Pyramimonas longicauda,CHLOROPHYTA,1/10/2018,27.0,2,1,11.88310,4977.57580,418.87867
Unknown Chlorophyte,CHLOROPHYTA,1/10/2018,27.0,2,4,47.53239,559.97728,11.78096
Plagioselmis prolonga,CRYPTOPHYTA,1/10/2018,27.0,2,45,534.73936,98556.00077,184.30661
Teleaulax sp.,CRYPTOPHYTA,1/10/2018,27.0,2,25,297.07742,136455.57398,459.32664
Eucapsis microscopica,CYANOPHYCEAE,1/10/2018,27.0,2,342,146304.68936,26275.47779,0.17959
Planktothrix sp.,CYANOPHYCEAE,1/10/2018,27.0,2,95,38.00038,238.76322,6.28318
Unknown Cyanophyte,CYANOPHYCEAE,1/10/2018,27.0,2,6,43.58280,273.83860,6.28318
Gyrodinium spp.,DINOPHYCEAE,1/10/2018,27.0,2,1,11.88310,19848.08349,1670.27868
Heterocapsa rotundata,DINOPHYCEAE,1/10/2018,27.0,2,10,118.83097,12558.42373,105.68309
Heterocapsa sp.,DINOPHYCEAE,1/10/2018,27.0,2,4,47.53239,8372.28249,176.13848
Phalacroma oxytoxoides,DINOPHYCEAE,1/10/2018,27.0,2,1,0.40000,5793.98735,14484.82429
Prorocentrum triestinum,DINOPHYCEAE,1/10/2018,27.0,2,1,11.88310,19711.20015,1658.75952
Tripos lineatus,DINOPHYCEAE,1/10/2018,27.0,2,1,0.40000,2711.53330,6778.76582
Unknown Dinoflagellate,DINOPHYCEAE,1/10/2018,27.0,2,1,11.88310,21832.89184,1837.30655
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,27.0,2,4,47.53239,1119.95455,23.56193
Unknown Raphidophyte,RAPHIDOPHYCEAE,1/10/2018,27.0,2,10,118.83097,2799.88639,23.56193
Achnanthidium minutissimum,BACILLARIOPHYTA,1/10/2018,32.0,2,1,27.77867,1544.66459,55.60614
Actinocyclus sp.,BACILLARIOPHYTA,1/10/2018,32.0,2,1,2.00002,21504.39746,10752.09178
Actinoptychus senarius,BACILLARIOPHYTA,1/10/2018,32.0,2,1,27.77867,44681.82325,1608.49408
Chaetoceros sp.,BACILLARIOPHYTA,1/10/2018,32.0,2,3,83.33600,12959.47413,155.50871
Craticula buderi,BACILLARIOPHYTA,1/10/2018,32.0,2,1,27.77867,8109.48911,291.93225
Cyclotella sp.,BACILLARIOPHYTA,1/10/2018,32.0,2,1,27.77867,1636.29724,58.90481
Fragilaria brevistriata,BACILLARIOPHYTA,1/10/2018,32.0,2,1,27.77867,2487.17180,89.53532
Nitzschia acicularis,BACILLARIOPHYTA,1/10/2018,32.0,2,2,55.55734,6666.88035,120.00000
